#,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,Skill Moves,Position,Height,Weight,Release Clause
6068,Goh Young Jun,20,Korea Republic,64,78,Pohang Steelers,1400000,1000,Right,3,CAM,168,69,2600000
6069,N. Banegas,25,Argentina,64,68,Club Atlético Central Córdoba,750000,3000,Left,2,SUB,176,80,1100000
6070,M. Duarte,20,Argentina,64,75,Defensa y Justicia,1300000,3000,Right,3,SUB,171,68,2200000
6071,L. Lemos,22,Uruguay,64,73,Liverpool Fútbol Club,1200000,500,Right,2,SUB,183,70,2800000
6072,B. Hollerbach,21,Germany,64,69,SV Wehen Wiesbaden,900000,2000,Right,2,LF,181,78,1400000
6073,L. Coulibaly,19,Ghana,64,79,FC Nordsjælland,1400000,2000,Right,3,SUB,175,70,2600000
6074,A. Oroz,19,Chile,64,76,Colo-Colo,1400000,1000,Left,3,RW,171,64,2200000
6075,A. Salah-Eddine,20,Netherlands,64,79,FC Twente,1300000,2000,Left,2,SUB,179,66,
6076,S. Ramírez,20,Uruguay,64,73,Club Nacional de Football,1300000,500,Left,2,RES,172,65,3100000
6077,A. Peláez,29,Colombia,64,64,Hermanos Colmenarez,575000,500,Right,3,RW,185,81,1200000
6078,A. Fillon,27,France,64,66,FC Annecy,625000,1000,Right,2,LCM,176,70,1100000
6079,R. Brand,27,Germany,64,64,VfB Oldenburg,625000,650,Left,3,SUB,175,68,906000
6080,F. Strauss,21,Austria,64,74,SC Rheindorf Altach,1200000,2000,Right,2,SUB,186,80,2000000
6081,O. Targhalline,20,Morocco,64,75,Aytemiz Alanyaspor,1300000,6000,Right,2,SUB,186,70,
6082,Sandro Cruz,21,Portugal,64,78,GD Chaves,1400000,2000,Left,2,SUB,181,78,
6083,D. Thompson,21,England,64,73,Blackpool,1300000,2000,Left,2,LB,183,75,2700000
6084,M. Litka,26,Germany,64,65,F.C. Hansa Rostock,700000,3000,Left,3,SUB,180,67,1100000
6085,M. Reinthaler,27,Italy,64,66,SV Wehen Wiesbaden,625000,2000,Right,2,SUB,193,83,953000
6086,M. Flores,18,Mexico,64,81,Real Oviedo,1500000,5000,Right,3,SUB,163,65,
6087,Javi Cueto,21,Spain,64,76,Atlético de Madrid,1400000,2000,Right,2,RES,180,75,
6088,R. Kuijpers,22,Netherlands,64,70,RKC Waalwijk,950000,2000,Right,2,SUB,175,66,1600000
6089,M. Real,22,United States,64,72,Philadelphia Union,1300000,2000,Left,2,SUB,180,73,2200000
6090,D. Warchoł,26,Poland,64,65,Wisła Płock,700000,2000,Right,2,SUB,183,72,998000
6091,M. Chang,31,Cuba,64,64,Real Salt Lake,475000,2000,Left,2,SUB,178,79,689000
6092,M. Matysik,18,Poland,64,78,Jagiellonia Białystok,1300000,650,Right,2,SUB,190,78,2600000
6093,Arana,22,Spain,64,73,Villarreal Club de Fútbol B,1300000,2000,Right,3,RS,182,71,2300000
6094,E. Binaku,26,Albania,64,66,IFK Norrköping,675000,2000,Left,3,SUB,185,70,894000
6095,A. Lassiter,27,Costa Rica,64,64,Inter Miami CF,625000,2000,Left,3,SUB,178,70,938000
6096,M. Godoy,20,Argentina,64,80,Club Atlético Talleres,1500000,2000,Right,3,SUB,172,68,
6097,T. Watson,25,England,64,67,Milton Keynes Dons,725000,3000,Right,2,RWB,183,73,1300000
6098,T. Arconte,18,France,64,78,AC Ajaccio,1400000,2000,Right,2,SUB,181,76,3700000
6099,J. Kadile,19,France,64,78,Futebol Clube de Famalicão,1400000,5000,Right,3,RES,182,76,
6100,J. Çelhaka,21,Albania,64,70,Legia Warszawa,875000,2000,Right,2,SUB,183,77,1400000
6101,A. Ndour,24,Senegal,64,70,FK Haugesund,925000,1000,Right,3,RS,183,79,1300000
6102,H. López Muñoz,21,Argentina,64,72,Club Atlético Central Córdoba,1300000,3000,Left,3,RES,168,67,
6103,Ethyan,20,Spain,64,77,CD Tenerife,1400000,2000,Right,3,SUB,185,75,3100000
6104,K. Vaesen,21,Belgium,64,74,KVC Westerlo,1300000,3000,Right,2,RS,177,65,2100000
6105,R. Danzaki,22,Japan,64,73,Brisbane Roar,1300000,1000,Right,3,RM,174,63,1900000
6106,I. Suero Fernández,28,Spain,64,64,SV Elversberg,600000,750,Left,2,SUB,172,69,870000
6107,J. Walsh,30,Wales,64,64,Lincoln City,475000,3000,Left,2,SUB,182,70,831000
6108,A. Marín,22,Paraguay,64,72,Guaireña FC,1300000,500,Right,3,SUB,175,80,3100000
6109,M. Mancienne,34,England,64,64,Burton Albion,200000,2000,Right,2,SUB,186,86,350000
6110,Duk,22,Cape Verde Islands,64,74,Aberdeen,1300000,2000,Right,2,SUB,182,75,2500000
6111,A. Babacan,24,Turkey,64,71,MKE Ankaragücü,1100000,3000,Right,2,SUB,185,81,2400000
6112,N. Pierini,23,Italy,64,69,Venezia FC,875000,1000,Right,3,SUB,176,70,1500000
6113,M. Kaba,20,France,64,74,Valenciennes FC,1200000,1000,Right,2,RDM,185,71,2300000
6114,J. Jach,28,Poland,64,66,Zagłębie Lubin,600000,3000,Left,2,LCB,189,78,855000
6115,D. Kemp,23,England,64,69,Milton Keynes Dons,875000,3000,Left,3,SUB,168,63,1600000
6116,D. Cirkin,20,England,64,78,Sunderland,1300000,3000,Left,2,LCB,182,72,3200000
6117,T. Jacob,18,Argentina,64,76,Newell's Old Boys,1300000,900,Right,3,SUB,180,74,2200000
6118,C. Panico,22,Italy,64,70,Cosenza,875000,700,Left,3,LB,170,72,1500000
6119,D. Jan,27,Israel,64,64,FC Paços de Ferreira,625000,3000,Right,2,SUB,181,75,1300000
6120,F. Flores,20,Argentina,64,78,San Lorenzo de Almagro,1300000,2000,Right,2,SUB,182,76,2800000
6121,K. De Winter,20,Belgium,64,79,Empoli,1300000,12000,Right,2,SUB,191,75,
6122,A. Marinelli,23,Argentina,64,73,Rosario Central,1300000,4000,Left,3,RES,174,68,2200000
6123,B. Cargill,26,England,64,65,Forest Green Rovers,600000,3000,Left,2,LCB,189,87,1100000
6124,A. Krivotsyuk,23,Azerbaijan,64,67,Wisła Płock,725000,1000,Left,2,SUB,186,76,1000000
6125,F. Arnaout,25,Syria,64,68,FC Goa,725000,500,Right,2,SUB,186,86,1000000
6126,S. Unrein,31,Argentina,64,64,Deportivo La Guaira FC,500000,500,Right,3,SUB,182,76,1100000
6127,C. Menacho,22,Bolivia,64,71,Club Deportivo Jorge Wilstermann,1200000,500,Right,2,SUB,182,75,2800000
6128,Diego Moreno,20,Spain,64,75,CA Osasuna,1200000,4000,Right,2,RES,177,70,2800000
6129,O. El Azzouzi,21,Netherlands,64,71,Royale Union Saint-Gilloise,1100000,3000,Right,2,RES,189,75,1900000
6130,V. Adeboyejo,24,Nigeria,64,68,Burton Albion,850000,2000,Right,3,ST,178,63,1600000
6131,K. Lankford,23,Germany,64,70,Viktoria Köln,925000,1000,Right,3,LM,186,81,1500000
6132,B. Oddei,19,Italy,64,78,U.S. Sassuolo Calcio,1400000,4000,Left,3,RES,175,55,3300000
6133,Javi Gómez,23,Spain,64,73,RC Celta de Vigo,1300000,5000,Left,3,RES,178,66,3000000
6134,L. Ferreyra,20,Argentina,64,79,Rosario Central,1400000,3000,Right,3,SUB,164,63,3000000
6135,L. Delaurier-Chaubet,20,France,64,81,FC Girondins de Bordeaux,1500000,2000,Left,3,LW,173,60,3600000
6136,A. Bordón,26,Argentina,64,67,Barracas Central,700000,2000,Right,2,SUB,173,75,1100000
6137,A. Pejić,22,Serbia,64,70,SK Rapid Wien,875000,5000,Right,2,RDM,190,80,1500000
6138,A. Forson,19,Ghana,64,81,SC Rheindorf Altach,1500000,4000,Left,3,RM,173,62,
6139,K. Jensen,21,Sweden,64,72,Kalmar FF,1300000,950,Right,3,SUB,173,64,1900000
6140,L. Barry,19,England,64,81,Milton Keynes Dons,1500000,10000,Right,3,RW,174,65,
6141,T. Dube,29,South Africa,64,65,Kaizer Chiefs,550000,500,Left,2,LCB,178,74,1200000
6142,R. Baravykas,26,Lithuania,64,66,Universitatea Cluj,675000,2000,Right,2,SUB,184,80,962000
6143,Derik Lacerda,22,Brazil,64,72,SD Ponferradina,1300000,2000,Right,2,SUB,191,83,2300000
6144,N. Iosifov,21,Russia,64,76,Villarreal Club de Fútbol B,1400000,1000,Right,3,SUB,175,62,2500000
6145,S. Nanasi,20,Sweden,64,79,Kalmar FF,1400000,2000,Right,3,SUB,178,71,
6146,T. Totland,23,Norway,64,72,BK Häcken,1200000,1000,Right,2,SUB,181,74,1700000
6147,T. Ballo,20,Austria,64,74,RZ Pellets Wolfsberger AC,1300000,3000,Right,4,SUB,172,60,2100000
6148,A. Mucolli,23,Albania,64,70,Odense Boldklub,925000,3000,Right,4,SUB,172,72,1300000
6149,N. Mosti,24,Italy,64,70,Modena,925000,950,Left,3,SUB,177,73,1600000
6150,R. Robinson,23,United States,64,72,Inter Miami CF,1300000,2000,Right,2,SUB,185,77,2200000
6151,Rodrigo Martins,23,Portugal,64,70,Estoril Praia,925000,2000,Right,3,SUB,177,75,2100000
6152,Y. Rivas,20,Venezuela,64,73,Deportivo La Guaira FC,1300000,500,Right,3,RM,179,67,3100000
6153,Medrano,22,Spain,64,73,RC Celta de Vigo,1300000,4000,Left,2,RES,172,63,3000000
6154,R. Lucero,20,Argentina,64,76,Club Atlético Aldosivi,1300000,2000,Right,2,RB,174,74,2100000
6155,F. Suárez,28,Argentina,64,64,Club Deportivo Oriente Petrolero,600000,500,Right,3,ST,183,79,1300000
6156,F. Ponsi,21,Italy,64,73,Modena,1300000,700,Right,2,SUB,186,80,2300000
6157,B. Michel,24,United States,64,70,Orlando City Soccer Club,925000,2000,Right,2,SUB,178,75,1600000
6158,J. Amofa,23,Netherlands,64,70,Go Ahead Eagles,850000,2000,Right,2,RCB,185,82,1400000
6159,W. Balikwisha,23,Congo DR,64,69,Standard de Liège,875000,3000,Right,3,SUB,173,67,1400000
6160,T. Lecanda,20,Argentina,64,78,Club Atlético Aldosivi,1300000,3000,Right,2,SUB,183,73,
6161,Z. McGraw,25,United States,64,70,Portland Timbers,825000,2000,Right,2,SUB,193,93,1400000
6162,C. Espínola,22,Paraguay,64,72,Club Nacional,1300000,500,Right,2,RB,173,79,3100000
6163,Valera,20,Spain,64,77,Atlético de Madrid,1400000,8000,Left,3,RES,170,69,3700000
6164,C. Bălan,28,Romania,64,64,FC U Craiova 1948,600000,4000,Right,2,SUB,176,74,810000
6165,C. Driouech,20,Netherlands,64,73,Excelsior,1300000,1000,Left,3,LM,175,75,2100000
6166,J. Gomez,20,Gambia,64,76,AC Horsens,1300000,2000,Right,2,LCB,189,80,1900000
6167,D. Wright-Phillips,20,England,64,76,Stoke City,1400000,6000,Right,3,SUB,170,62,2900000
6168,Jô Batista,27,Brazil,64,64,GD Chaves,625000,2000,Right,2,SUB,192,84,1300000
6169,Y. Begraoui,20,France,64,78,Toulouse Football Club,1400000,4000,Right,3,SUB,178,70,3700000
6170,E. Emegha,19,Netherlands,64,76,SK Sturm Graz,1400000,3000,Right,2,SUB,195,63,2400000
6171,A. Boutoutaou,21,France,64,75,Valenciennes FC,1300000,1000,Right,3,CAM,169,56,2500000
6172,Raúl Parra,22,Spain,64,73,CD Mirandés,1300000,5000,Right,2,RB,187,77,
6173,G. Koutsias,18,Greece,64,81,PAOK,1500000,500,Right,3,ST,178,66,4200000
6174,A. Adams,22,Nigeria,64,73,Lillestrøm SK,1300000,1000,Right,3,ST,190,83,1900000
6175,A. Dumitrescu,21,Romania,64,75,Sepsi OSK Sf. Gheorghe,1300000,2000,Left,2,LB,178,70,2000000
6176,C. Antoine,30,Haiti,64,64,Casa Pia,575000,2000,Right,2,SUB,191,80,1200000
6177,Luis Carbonell,19,Spain,64,77,Real Zaragoza,1400000,2000,Right,3,RES,169,67,3100000
6178,N. Mbamba,17,Belgium,64,84,Club Brugge KV,1500000,500,Right,2,RES,188,75,3600000
6179,G. Contreras,21,Venezuela,64,71,Estudiantes de Mérida,1100000,500,Right,2,LB,175,71,2600000
6180,Antonio Leal,23,Spain,64,74,Levante Unión Deportiva,1200000,2000,Right,2,RES,186,78,2200000
6181,A. Linguet,22,France,64,71,Valenciennes FC,1100000,1000,Right,2,RB,176,69,2100000
6182,M. Bogarde,20,Netherlands,64,79,TSG Hoffenheim,1300000,5000,Right,2,RES,182,72,3000000
6183,H. Matriciani,22,Germany,64,71,FC Schalke 04,1100000,5000,Right,2,RES,187,76,2200000
6184,S. Rogers,23,United States,64,71,Rosenborg BK,1100000,2000,Right,2,LCB,193,86,1600000
6185,J. Pintado,24,Uruguay,64,68,Godoy Cruz,775000,2000,Right,2,RES,173,64,1200000
6186,A. Tripaldelli,23,Italy,64,71,SPAL,1100000,850,Left,2,SUB,182,77,1900000
6187,M. Dorval,21,France,64,72,Bari,1300000,850,Left,3,SUB,176,75,2300000
6188,K. Hansen,20,Denmark,64,75,BK Häcken,1200000,1000,Left,2,LB,184,80,1700000
6189,Luis Bilbao,19,Spain,64,77,Athletic Club de Bilbao,1400000,3000,Left,2,RES,185,75,3800000
6190,Y. Lagha,18,Algeria,64,82,Olympique Lyonnais,1500000,5000,Right,2,RES,185,78,3800000
6191,D. Strelec,21,Slovakia,64,72,Spezia,1300000,4000,Left,2,SUB,185,75,2600000
6192,Wei Zhen,25,China PR,64,69,Shanghai Port FC,775000,4000,Right,2,SUB,188,78,1300000
6193,S. Braem,23,Belgium,64,72,SV Zulte Waregem,1300000,3000,Right,2,SUB,186,76,2100000
6194,A. Araque,33,Venezuela,64,64,Estudiantes de Mérida,375000,500,Right,2,ST,183,81,806000
6195,J. Arweiler,25,Germany,64,68,SK Austria Klagenfurt,825000,3000,Left,2,SUB,188,79,1300000
6196,D. Luna,19,Colombia,64,79,Deportivo Cali,1400000,600,Left,2,SUB,179,66,2800000
6197,J. Enkerud,32,Norway,64,64,Hamarkameratene,475000,1000,Right,3,LW,190,81,594000
6198,R. Balk,21,Netherlands,64,74,SC Cambuur,1300000,3000,Right,3,LW,176,65,
6199,N. Holland,24,England,64,69,Milton Keynes Dons,875000,3000,Right,3,LW,178,70,1600000
6200,E. Hoxhallari,26,Albania,64,69,AFC UTA Arad,775000,2000,Left,2,LB,183,74,1100000
6201,W. Faghir,18,Denmark,64,80,VfB Stuttgart,1500000,2000,Right,3,RES,186,83,3600000
6202,B. Miovski,23,North Macedonia,64,73,Aberdeen,1300000,2000,Left,2,ST,189,82,2500000
6203,Iker Bravo,17,Spain,64,83,Bayer 04 Leverkusen,1500000,2000,Right,3,RES,182,75,3500000
6204,L. Martínez Dupuy,21,Mexico,64,77,Rosario Central,1400000,3000,Right,3,RES,178,70,3000000
6205,A. Bakayoko,19,Côte d'Ivoire,64,76,AS Saint-Étienne,1300000,1000,Right,2,SUB,185,75,2600000
6206,M. Matras,31,Poland,64,64,PGE FKS Stal Mielec,400000,1000,Right,2,CB,193,88,540000
6207,O. Aydın,21,Turkey,64,74,Aytemiz Alanyaspor,1300000,4000,Right,2,SUB,183,76,2900000
6208,G. Vidović,18,Croatia,64,80,FC Bayern München,1500000,5000,Right,3,SUB,180,75,3400000
6209,C. Moros Gracia,29,Spain,64,65,Mjällby AIF,550000,1000,Right,2,CB,183,79,729000
6210,D. Scarlett,18,England,64,85,Portsmouth,1900000,7000,Right,3,SUB,179,73,
6211,M. Faßbender,23,Germany,64,72,SV Meppen,1300000,750,Right,2,RM,188,78,2100000
6212,J. Ekomié,18,Gabon,64,79,FC Girondins de Bordeaux,1300000,550,Left,2,LB,179,73,3200000
6213,M. Fornalczyk,19,Poland,64,79,Pogoń Szczecin,1400000,1000,Left,3,SUB,177,70,2800000
6214,W. Soleto,26,Bolivia,64,66,Club Deportivo Oriente Petrolero,675000,500,Right,2,SUB,179,87,1500000
6215,K. Tobers,21,Latvia,64,70,Lechia Gdańsk,850000,2000,Right,2,SUB,189,75,1300000
6216,N. Bonfanti,20,Italy,64,75,Modena,1300000,900,Right,2,SUB,178,75,2300000
6217,G. Giménez,35,Paraguay,64,64,Club Sol de América,180000,500,Right,2,RB,176,74,387000
6218,Guilherme Garutti,28,Brazil,64,65,CS Mioveni,550000,2000,Right,2,LCB,192,86,784000
6219,K. Testud,30,France,64,64,FC Annecy,575000,1000,Right,2,SUB,180,66,1000000
6220,P. Slišković,31,Croatia,64,64,Chennaiyin FC,500000,750,Right,2,SUB,193,90,675000
6221,D. Ouédraogo,23,Burkina Faso,64,71,Oud-Heverlee Leuven,1100000,3000,Left,2,LCB,185,75,1800000
6222,R. Meißner,22,Germany,64,70,Viktoria Köln,950000,3000,Right,2,ST,181,78,
6223,J. Caicedo,27,Ecuador,64,64,CS Emelec,625000,500,Left,3,SUB,168,71,1300000
6224,E. Vergani,21,Italy,64,74,US Salernitana 1919,1300000,5000,Right,3,RES,186,77,2600000
6225,Alberto,29,Spain,64,65,CD Lugo,550000,2000,Right,2,RCB,193,84,894000
6226,M. Jensen,25,Denmark,64,69,AC Horsens,775000,3000,Right,2,RCB,195,85,1000000
6227,Alberto Toril,25,Spain,64,66,Piast Gliwice,750000,3000,Right,2,SUB,185,80,1100000
6228,A. Hayden,25,England,64,68,Wrexham AFC,725000,500,Right,2,RCB,185,79,1600000
6229,M. Tillman,20,United States,64,80,Rangers FC,1500000,9000,Right,3,SUB,187,71,
6230,L. Lissens,20,Belgium,64,75,RSC Anderlecht,1200000,3000,Right,2,RES,181,74,2000000
6231,Y. Bahassa,30,France,64,64,FC U Craiova 1948,575000,3000,Right,2,SUB,187,79,776000
6232,D. Becker,22,Germany,64,71,1. FC Saarbrücken,1100000,5000,Right,2,SUB,188,75,
6233,D. Mikić,29,Germany,64,64,Sportclub Verl,500000,700,Right,2,RCB,180,75,725000
6234,E. Cashin,20,Republic of Ireland,64,74,Derby County,1200000,1000,Left,2,LCB,184,86,2300000
6235,Rai Marchán,28,Spain,64,64,Melbourne Victory,525000,2000,Right,2,LDM,181,67,656000
6236,A. Sangante,20,Senegal,64,75,Le Havre AC,1200000,1000,Right,2,RCB,189,76,2300000
6237,Obrador,18,Spain,64,82,Real Madrid CF,1400000,7000,Left,2,RES,182,69,3700000
6238,A. Schmid,23,Austria,64,70,Austria Lustenau,925000,2000,Right,2,ST,183,75,1500000
6239,Adrián Diéguez,26,Spain,64,69,SD Ponferradina,775000,2000,Left,2,SUB,187,78,1300000
6240,W. Ibarrola,25,Paraguay,64,67,Club Nacional,725000,500,Left,2,LB,172,74,1600000
6241,C. Doyle,18,England,64,77,Coventry City,1300000,6000,Left,2,SUB,191,85,
6242,M. Trusa,21,Slovakia,64,72,FC Viktoria Plzeň,1300000,500,Right,2,SUB,186,80,3100000
6243,O. Uddenäs,19,Sweden,64,76,BK Häcken,1400000,1000,Left,3,RW,186,75,2000000
6244,Pablo Rodríguez,20,Spain,64,77,Lecce,1400000,3000,Right,3,SUB,178,70,3400000
6245,K. Vinetot,34,France,64,64,Südtirol,190000,900,Right,2,SUB,186,79,295000
6246,J. Toledo,26,Peru,64,67,Ayacucho,700000,500,Right,2,SUB,174,73,1600000
6247,E. Rodríguez,21,Colombia,64,71,Inter Miami CF,1200000,2000,Right,4,SUB,174,68,2000000
6248,J. Rojas,20,Chile,64,76,Colo-Colo,1300000,1000,Right,2,SUB,185,73,2100000
6249,P. Ibáñez,21,Peru,64,74,FBC Melgar,1300000,500,Right,3,SUB,174,67,3100000
6250,P. Ibara,26,Congo,64,67,Bengaluru FC,775000,750,Right,2,SUB,194,87,1100000
6251,L. Spatz,20,Argentina,64,72,Cádiz CF,1200000,4000,Right,2,RES,184,75,2800000
6252,Koldo Obieta,28,Spain,64,64,Miedź Legnica,600000,1000,Right,2,SUB,187,82,810000
6253,H. Kurucay,24,Turkey,64,72,Hamarkameratene,1200000,950,Right,2,LCB,185,79,1700000
6254,Pep Gayà,22,Spain,64,74,RCD Mallorca,1200000,5000,Right,2,RES,185,74,2900000
6255,Yang Shuai,25,China PR,64,69,Henan Songshan Longmen FC,775000,3000,Right,2,LCB,187,88,1300000
6256,D. Boldor,27,Romania,64,66,AFC Chindia Târgoviște,625000,1000,Left,2,RCB,189,83,891000
6257,A. Leifsson,23,Iceland,64,71,Strømsgodset IF,1100000,1000,Right,2,SUB,193,80,1600000
6258,C. Taylor,20,England,64,74,Stoke City,1200000,4000,Right,2,RCB,183,86,2500000
6259,N. Tafari,25,United States,64,67,FC Dallas,700000,2000,Right,2,SUB,193,84,1100000
6260,D. Ulvestad,33,Norway,64,64,Kristiansund BK,275000,1000,Right,2,SUB,189,84,344000
6261,L. Cáceres,26,Paraguay,64,67,Club Olimpia,675000,500,Right,2,SUB,180,77,1500000
6262,M. Galezo,41,Venezuela,64,64,Hermanos Colmenarez,0,500,Right,2,SUB,180,78,
6263,Raúl Moro,19,Spain,64,80,Lazio,1500000,6000,Right,3,RES,168,60,3500000
6264,J. Jiménez,25,Paraguay,64,67,Guaireña FC,725000,500,Left,2,LB,179,82,1600000
6265,O. Labrador,30,Venezuela,64,64,Estudiantes de Mérida,500000,500,Left,2,SUB,170,68,1100000
6266,W. Saucedo,25,Bolivia,64,68,Royal Pari,750000,500,Right,2,RB,179,77,1700000
6267,Uri,22,Spain,64,72,FC Cartagena,1200000,2000,Right,2,SUB,189,80,2200000
6268,N. Fogaça,23,Brazil,64,71,Portland Timbers,1200000,2000,Right,2,SUB,178,73,2000000
6269,S. Piçinciol,26,Turkey,64,64,GZT Giresunspor,550000,3000,Right,2,RCB,182,79,1100000
6270,V. Eriksson,21,Sweden,64,72,IFK Värnamo,1200000,700,Right,2,LCB,192,82,1700000
6271,Álex Pastor,22,Spain,64,76,FC Andorra,1400000,2000,Right,2,LCB,186,79,2500000
6272,K. Schmidt,20,Germany,64,73,SC Freiburg II,1200000,850,Left,2,LCB,186,79,2000000
6273,M. Sanabria,18,Argentina,64,80,Club Atlético Lanús,1500000,1000,Right,3,RES,178,72,3200000
6274,A. Giménez,29,Paraguay,64,64,Guaireña FC,525000,500,Right,2,RB,175,80,1100000
6275,J. Hill,20,England,64,77,AFC Bournemouth,1300000,7000,Right,2,RES,184,73,3400000
6276,M. Di Cesare,20,Argentina,64,74,Argentinos Juniors,1200000,2000,Right,2,SUB,186,81,2000000
6277,B. Bjarnason,22,Iceland,64,74,Vålerenga Fotball,1200000,1000,Right,2,LCB,194,88,1700000
6278,Bruno Rodrigues,21,Portugal,64,77,SC Braga,1400000,2000,Right,2,RES,192,86,3700000
6279,P. Gozzi,21,Italy,64,78,Juventus,1400000,12000,Left,2,RES,187,74,3300000
6280,L. Deichmann,24,Germany,64,69,VfB Oldenburg,800000,500,Right,2,RCB,186,83,1200000
6281,T. Kristensen,20,Denmark,64,77,Aarhus GF,1300000,2000,Right,2,SUB,198,85,2400000
6282,M. Mejía,27,Ecuador,64,65,CS Emelec,600000,500,Right,2,LCB,178,74,1300000
6283,E. Penilla,26,Venezuela,64,67,Estudiantes de Mérida,675000,500,Right,2,SUB,192,95,1500000
6284,D. Calcaterra,20,Argentina,64,74,San Lorenzo de Almagro,1200000,2000,Right,2,SUB,189,79,2000000
6285,F. Čihák,22,Czech Republic,64,69,FC Viktoria Plzeň,825000,500,Right,2,SUB,190,80,1900000
6286,A. Da Silveira,21,Uruguay,64,73,Club Atlético Peñarol,1200000,500,Right,2,SUB,179,78,2800000
6287,M. Bokele,22,Cameroon,64,73,FC Girondins de Bordeaux,1200000,2000,Right,2,RB,189,78,2400000
6288,W. Antelo,21,Bolivia,64,71,Club Deportivo Guabirá,1100000,500,Right,2,SUB,181,94,2600000
6289,N. Lang,20,Germany,64,79,TSV 1860 München,1300000,700,Right,2,SUB,185,78,2700000
6290,M. Tol,24,Netherlands,64,70,SC Cambuur,850000,2000,Right,2,LCB,188,81,1400000
6291,S. Saatçı,19,Turkey,64,78,Beşiktaş JK,1300000,5000,Right,2,SUB,190,90,3400000
6292,G. Aranda,21,Argentina,64,75,Boca Juniors,1200000,3000,Right,2,RES,190,82,1900000
6293,A. Barry,22,France,64,72,Amiens SC,1200000,1000,Right,2,RCB,185,78,2300000
6294,F. Ortellado,21,Argentina,64,76,Club Atlético Lanús,1400000,3000,Left,2,RES,188,83,2400000
6295,M. Eerdhuijzen,21,Netherlands,64,73,Sparta Rotterdam,1200000,2000,Left,2,SUB,191,78,2000000
6296,W. Díaz,37,Venezuela,64,64,Estudiantes de Mérida,100000,500,Right,2,RCB,185,77,215000
6297,B. Mendy,30,Senegal,64,64,FC Annecy,475000,1000,Right,2,LCB,180,75,831000
6298,M. Romero,29,Paraguay,64,65,General Caballero (JLM),550000,500,Right,2,RCB,175,74,1200000
6299,B. Chorbadzhiyski,26,Bulgaria,64,66,Widzew Łódź,650000,2000,Right,2,CB,195,78,926000
6300,M. Lazo,18,Peru,64,78,FBC Melgar,1300000,500,Right,2,SUB,178,67,3600000
6301,Y. Mosquera,21,Colombia,64,78,Wolverhampton Wanderers,1400000,10000,Right,2,SUB,187,76,3500000
6302,G. Justiniano,33,Bolivia,64,64,Royal Pari,275000,500,Left,2,SUB,185,77,591000
6303,Kwak Yoon Ho,26,Korea Republic,64,67,Suwon FC,675000,2000,Right,2,SUB,185,83,894000
6304,A. Ławniczak,23,Poland,64,72,Zagłębie Lubin,1200000,2000,Right,2,RCB,189,87,1900000
6305,Fran González,23,Spain,64,72,Atlético de Madrid,1200000,8000,Right,2,RES,188,81,2700000
6306,C. Montoya,20,Peru,64,72,Club Alianza Lima,1200000,500,Right,2,SUB,176,78,2900000
6307,C. Hall,29,England,64,64,Port Vale,500000,2000,Left,2,LCB,193,79,875000
6308,J. James,21,Argentina,64,76,San Lorenzo de Almagro,1400000,2000,Left,2,LCB,191,83,2400000
6309,P. Minissale,21,Argentina,64,72,Argentinos Juniors,1200000,2000,Right,2,SUB,179,72,2000000
6310,Gonçalo Cardoso,21,Portugal,64,72,West Ham United,1200000,9000,Left,2,RES,189,83,2500000
6311,D. Bettella,22,Italy,64,75,AC Monza,1200000,8000,Right,2,RES,185,75,2400000
6312,J. Pombo,21,Argentina,64,74,Arsenal de Sarandí,1200000,2000,Left,2,LCB,192,84,2000000
6313,J. Mejías,24,Venezuela,64,71,CD Leganés,1100000,2000,Right,2,SUB,185,78,1900000
6314,Y. Baldé,29,France,64,65,Stade Lavallois Mayenne FC,550000,1000,Right,2,RCB,190,86,1000000
6315,S. Kapuadi,24,France,64,69,Wisła Płock,800000,1000,Left,2,RCB,193,88,1100000
6316,J. Guasone,21,Argentina,64,77,Patronato,1400000,2000,Right,2,RES,192,94,2900000
6317,A. Paulsen,19,New Zealand,64,79,Wellington Phoenix,1200000,500,Right,1,SUB,193,80,2300000
6318,David Alba,23,Spain,64,75,CD Leganés,1200000,2000,Right,2,SUB,188,77,2100000
6319,A. Bass,24,England,64,68,Sunderland,675000,3000,Right,1,RES,191,70,1300000
6320,A. Lindegaard,38,Denmark,64,64,Helsingborgs IF,60000,500,Right,1,SUB,193,85,75000
6321,T. Savin,21,England,64,75,Accrington Stanley,1100000,750,Right,1,GK,194,84,2100000
6322,I. Don,40,Argentina,64,64,Club Libertad,60000,500,Right,1,SUB,181,76,132000
6323,J. Cárdenas,27,Ecuador,64,67,C.D. Universidad Católica del Ecuador,575000,500,Right,1,SUB,188,80,1300000
6324,J. Gutíerrez,25,Bolivia,64,65,Club The Strongest,525000,500,Right,1,SUB,177,72,1200000
6325,L. Vigouroux,28,Chile,64,64,Leyton Orient,425000,3000,Left,1,GK,194,77,744000
6326,E. Guarna,36,Italy,64,64,Ascoli,60000,650,Right,1,SUB,185,82,96000
6327,T. Mickel,33,Germany,64,64,Hamburger SV,190000,3000,Right,1,RES,185,84,304000
6328,N. Tzanev,25,New Zealand,64,69,AFC Wimbledon,675000,2000,Right,1,GK,195,90,1200000
